Fiber,pCa,Act_percent,M_length,sarc_length,M_area,ISI,ISI_code,Cond_Amp,CA_code,SRS,SRS_UC,Impulse,Impulse_UC,back_L,back_F,backFpercentUC,F_tZero,SRS_CO,SRS_CO_UC,Impulse_CO,Impulse_CO_UC
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,1,e1000,0.38,b38,110994.5101,101.0431754,480562.253,96.75421912,0.000429911,4933.4796,109.5917234,4398.094615,110994.5101,101.0431754,480562.253,96.75421912
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,1,e1000,1.21,c121,122121.3392,111.1724163,433049.9308,87.1883042,0.000429717,4137.251242,91.90440231,3808.899244,122121.3392,111.1724163,433049.9308,87.1883042
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.12,a12,103161.3587,93.91231377,479078.4262,96.45547218,0.00042995,4575.691474,101.643861,4462.871466,103161.3587,93.91231377,479078.4262,96.45547218
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,3.162,f3162,0.38,b38,94412.6985,85.9480243,443858.3138,89.36441489,0.000430011,4159.556917,92.39989788,4062.610788,94412.6985,85.9480243,443858.3138,89.36441489
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,3.162,f3162,1.21,c121,99585.84246,90.65736435,493877.3798,99.43502621,0.000429793,4491.598916,99.77583899,4554.878242,99585.84246,90.65736435,493877.3798,99.43502621
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,10,g10000,0.12,a12,35861.08658,32.64592147,451688.5045,90.94090988,0.000429996,4144.544533,92.0664146,4304.670609,35861.08658,32.64592147,451688.5045,90.94090988
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,10,g10000,0.38,b38,101234.6617,92.15835693,437937.4454,88.17233416,0.000430094,4141.131092,91.99058881,3915.348109,101234.6617,92.15835693,437937.4454,88.17233416
12Dec2017a,6.4,1.115833878,0.0004299,2.62E-06,8.25E-10,10,g10000,1.21,c121,82329.17018,74.94785798,446221.5233,89.84021274,0.000429964,4065.8722,90.31879683,4086.237913,82329.17018,74.94785798,446221.5233,89.84021274
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.001,a1,3.83,f383,363833.7131,148.3146589,791965.9662,75.89075885,0.0004297,8670.672067,92.21834673,5277.471437,147108.5596,59.96793331,972991.6738,93.23768903
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.001,a1,0,zero,245312.0385,100,1043560.479,100,0.00042985,9402.328685,100,9596.693468,245312.0385,100,1043560.479,100
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.12,a12,246188.1612,100.3571463,1057468.456,101.3327428,0.000429806,9751.861265,103.7175108,9650.443796,246188.1612,100.3571463,1057468.456,101.3327428
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.001,a1,0.38,b38,258966.3635,105.5661048,1077358.872,103.2387575,0.00043,9947.518311,105.7984532,10036.48278,228348.8871,93.08507177,1082297.59,103.7120141
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.001,a1,1.21,c121,414613.1092,169.0145791,1016697.914,97.42587373,0.000430031,10300.15619,109.5489909,8064.365824,301915.8989,123.0742286,1079962.818,103.4882826
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.1,c100,3.83,f383,265525.1271,108.2397459,1024685.038,98.19124617,0.000429934,9823.903784,104.4837307,9081.170332,194711.7527,79.37309311,1067572.382,102.3009595
12Dec2017a,6.2,2.170035368,0.0004299,2.62E-06,8.25E-10,0.316,d316,3.83,f383,260186.6134,106.0635324,1097961.651,105.2130349,0.000429746,10109.21708,107.5182268,9982.153709,260186.6134,106.0635324,1097961.651,105.2130349
